input,expected_output
"Fetch merged PRs from staging with 'deploy' in title, for .yaml and .yml files, and compute modified files and file types","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""staging"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""creation_date"", ""merge_date"", ""file_names"", ""file_status""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""yaml"", ""yml""], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""deploy""]}}, ""features"": [""modified_files"", ""file_types""]}"
"Collecter les MRs mergées entre janvier et février 2026, calculer le lead time et le nombre de commits","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""creation_date"", ""merge_date"", ""commit_id"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-02-28""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""commits_count""]}"
"Get all PR data with 'API' in title from master branch, only .py and .go files by devops-lead, calculate lead time, commits count, churn and reviewers count","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""master"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""reviewer"", ""review_state""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py"", ""go""], ""authors"": [""devops-lead""], ""keywords"": {""fields"": [""title""], ""terms"": [""API""]}}, ""features"": [""lead_time"", ""commits_count"", ""churn_additions"", ""churn_deletions"", ""reviewers_count""]}"
"I need a complete analysis: collect merged PRs from Q4 2025, .ts files only, and calculate all time metrics, code churn, discussions, and committer stats","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""file_changes"", ""pr_comments"", ""comment_authors"", ""comment_content"", ""reviewer"", ""review_state"", ""review_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-10-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""ts""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""mean_time_between_commits"", ""delta_time"", ""churn_additions"", ""churn_deletions"", ""discussions_count"", ""committers_list"", ""unique_committers"", ""reviewers_count"", ""comments_count"", ""people_count""]}"
Collect MR data from develop for .java files with discussion data and calculate historical entropy and file analysis,"{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""develop"", ""metrics"": [""mr_iid"", ""mr_state"", ""creation_date"", ""old_file_path"", ""new_file_path"", ""file_diff"", ""commit_id"", ""commit_dates"", ""file_changes_diff"", ""discussion_id"", ""discussion_notes""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""java""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""historical_entropy"", ""modified_files"", ""file_types""]}"
"Récupérer les données complètes branche develop, fichiers .py et .yml, par data-engineer, calculer tous les métriques de temps","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""develop"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""commit_id"", ""commit_dates"", ""commit_authors"", ""old_file_path"", ""new_file_path""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py"", ""yml""], ""authors"": [""data-engineer""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""mean_time_between_commits"", ""delta_time""]}"
"Get PRs from feature/api-v2 since November 2025, all reviews and inline comments, calculate reviewers count","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""feature/api-v2"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""review_state"", ""reviewer"", ""review_date"", ""review_comments"", ""inline_comments"", ""comment_author"", ""comment_date"", ""code_position"", ""file_path""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-11-01"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""reviewers_count""]}"
"Fetch merged MRs from Q4 2025 on release branch by devops and sre-team, calculate total additions and deletions","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""release"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""old_file_path"", ""new_file_path"", ""file_diff""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-10-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""devops"", ""sre-team""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""total_additions"", ""total_deletions""]}"
"Collect PRs in February, .ts and .tsx files with 'component' in title, compute lead time, commits count, churn, discussions, and modified files","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_description"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_authors"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""pr_comments"", ""comment_content""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-01"", ""end_date"": ""2026-02-28""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""ts"", ""tsx""], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""component""]}}, ""features"": [""lead_time"", ""commits_count"", ""churn_additions"", ""churn_deletions"", ""discussions_count"", ""modified_files""]}"
"Récupérer les PRs mergées avec 'optimization' dans les commentaires, fichiers .py, calculer le churn et le rework size","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""creation_date"", ""merge_date"", ""pr_comments"", ""comment_content"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""commit_sha"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py""], ""authors"": [], ""keywords"": {""fields"": [""comments""], ""terms"": [""optimization""]}}, ""features"": [""churn_additions"", ""churn_deletions"", ""rework_size""]}"
"Collect all data from production branch by senior-dev, merged only, compute lead time, delta time, mean time between commits, discussions count, committers list, and people count","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""production"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""commit_id"", ""commit_dates"", ""commit_authors"", ""discussion_id"", ""discussion_notes"", ""note_content"", ""note_author""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [""senior-dev""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""delta_time"", ""mean_time_between_commits"", ""discussions_count"", ""committers_list"", ""people_count""]}"
Collect everything from 2025 for Rust files and calculate all code and time metrics,"{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""file_changes"", ""pr_comments"", ""comment_authors"", ""comment_content"", ""reviewer"", ""review_state"", ""review_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""rs""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""commits_count"", ""mean_time_between_commits"", ""churn_additions"", ""churn_deletions"", ""modified_files"", ""file_types"", ""historical_entropy"", ""discussions_count"", ""committers_list"", ""unique_committers"", ""reviewers_count"", ""comments_count""]}"
"Je veux collecter les PRs fermées et mergées de la branche develop du dernier mois, fichiers .php, par full-stack-dev, et calculer le lead time, discussions count et reviewers count","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""close_date"", ""pr_comments"", ""comment_content"", ""comment_authors"", ""reviewer"", ""review_state"", ""review_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""php""], ""authors"": [""full-stack-dev""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""discussions_count"", ""reviewers_count""]}"
"Get MR discussions with notes for merged MRs on integration branch, filter for 'backend' keyword in title, calculate discussions count and comments count","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""integration"", ""metrics"": [""mr_title"", ""mr_description"", ""mr_iid"", ""mr_state"", ""creation_date"", ""merge_date"", ""discussion_id"", ""discussion_notes"", ""resolved_status"", ""note_content"", ""note_author"", ""note_date"", ""note_type""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""backend""]}}, ""features"": [""discussions_count"", ""comments_count""]}"
"Collect PRs from feature/notifications this year, .dart files, calculate rework size and initial size","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""feature/notifications"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""dart""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""rework_size"", ""initial_size""]}"
"Récupérer les MRs avec les mots-clés 'CI' et 'pipeline' dans la description, calculer le nombre de commits et la liste des committers","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""main"", ""metrics"": [""mr_title"", ""mr_description"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""commit_id"", ""commit_messages"", ""commit_authors"", ""commit_dates""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""description""], ""terms"": [""CI"", ""pipeline""]}}, ""features"": [""commits_count"", ""mean_time_between_commits"", ""committers_list""]}"
"Get all PR data in 2024 with commits and file changes for .swift files by ios-team, and compute commits count, churn, and modified files","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""total_changes""], ""basic_filters"": {""date_range"": {""start_date"": ""2024-01-01"", ""end_date"": ""2024-12-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""swift""], ""authors"": [""ios-team""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""commits_count"", ""churn_additions"", ""churn_deletions"", ""modified_files""]}"
"Collect data and calculate everything: lead time, code churn, collaboration metrics, file metrics","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""file_changes"", ""pr_comments"", ""comment_authors"", ""comment_content"", ""reviewer"", ""review_state"", ""review_date""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""commits_count"", ""mean_time_between_commits"", ""delta_time"", ""churn_additions"", ""churn_deletions"", ""initial_size"", ""rework_size"", ""total_additions"", ""total_deletions"", ""modified_files"", ""file_types"", ""historical_entropy"", ""discussions_count"", ""committers_list"", ""unique_committers"", ""minor_authors"", ""major_authors"", ""people_count"", ""reviewers_count"", ""committers_count"", ""discussers_count"", ""comments_count""]}"
"Collecter les MRs de develop entre janvier et février 2026, fichiers .py et .ipynb par ml-engineer, calculer commits count et lead time","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""develop"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""commit_id"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""old_file_path"", ""new_file_path""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-02-28""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py"", ""ipynb""], ""authors"": [""ml-engineer""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""commits_count"", ""lead_time""]}"
"Collect PRs from hotfix branch with refined date range Jan 15 to Feb 15 2026, compute commits and churn","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""hotfix"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_dates"", ""lines_added"", ""lines_deleted"", ""file_names"", ""file_status""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": {""start_date"": ""2026-01-15"", ""end_date"": ""2026-02-15""}, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""commits_count"", ""churn_additions"", ""churn_deletions""]}"
"Get MR data from v2.0 branch for C# files by dotnet-dev, calculate lead time and total additions, from last quarter","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""v2.0"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""old_file_path"", ""new_file_path"", ""file_diff""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-12-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""cs""], ""authors"": [""dotnet-dev""], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""total_additions"", ""total_deletions""]}"
"I want commit data and reviews from develop in January for .go files, compute mean time between commits and reviewers count","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""develop"", ""metrics"": [""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""review_state"", ""reviewer"", ""review_date"", ""review_comments"", ""pr_number"", ""file_names""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-01-31""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""go""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""mean_time_between_commits"", ""reviewers_count""]}"
"Fetch MR discussions from testing branch with 'bug' in title, compute discussions count","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""testing"", ""metrics"": [""mr_title"", ""mr_description"", ""mr_iid"", ""mr_state"", ""creation_date"", ""discussion_id"", ""discussion_notes"", ""resolved_status"", ""note_content"", ""note_author""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [], ""authors"": [], ""keywords"": {""fields"": [""title""], ""terms"": [""bug""]}}, ""features"": [""discussions_count""]}"
"Récupérer les PRs mergées du Q4 2025 de la branche release, calculer le churn et l'entropie pour les fichiers .scala","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""release"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""creation_date"", ""merge_date"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""file_changes""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-10-01"", ""end_date"": ""2025-12-31""}, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""scala""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""churn_additions"", ""churn_deletions"", ""historical_entropy""]}"
"Get all data from last 6 months, only .vue and .js files, calculate all collaboration and code metrics","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""commit_sha"", ""commit_messages"", ""commit_authors"", ""commit_dates"", ""file_names"", ""file_status"", ""lines_added"", ""lines_deleted"", ""file_changes"", ""pr_comments"", ""comment_authors"", ""comment_content"", ""reviewer"", ""review_state"", ""review_date""], ""basic_filters"": {""date_range"": {""start_date"": ""2025-09-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed"", ""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""vue"", ""js""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""commits_count"", ""churn_additions"", ""churn_deletions"", ""modified_files"", ""file_types"", ""discussions_count"", ""committers_list"", ""unique_committers"", ""reviewers_count"", ""comments_count"", ""people_count""]}"
"Collecter les MRs ouvertes et fermées de la branche develop du mois dernier, fichiers .php, calculer lead time et discussions","{""intent"": ""collect"", ""platform"": ""gitlab"", ""branch"": ""develop"", ""metrics"": [""mr_title"", ""mr_iid"", ""mr_state"", ""mr_author"", ""creation_date"", ""merge_date"", ""close_date"", ""discussion_id"", ""discussion_notes"", ""note_content"", ""note_author""], ""basic_filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""pr_status"": [""open"", ""closed""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""php""], ""authors"": [], ""keywords"": {""fields"": [], ""terms"": []}}, ""features"": [""lead_time"", ""discussions_count""]}"
"Fetch PRs with 'security' or 'vulnerability' in comments, merged only, for .py files, compute lead time and comments count","{""intent"": ""collect"", ""platform"": ""github"", ""branch"": ""main"", ""metrics"": [""pr_title"", ""pr_number"", ""pr_state"", ""pr_author"", ""creation_date"", ""merge_date"", ""pr_comments"", ""comment_content"", ""comment_authors"", ""file_names""], ""basic_filters"": {""date_range"": null, ""pr_status"": [""merged""]}, ""cleaning_filters"": {""refined_date_range"": null, ""file_extensions"": [""py""], ""authors"": [], ""keywords"": {""fields"": [""comments""], ""terms"": [""security"", ""vulnerability""]}}, ""features"": [""lead_time"", ""comments_count""]}"
Show commits over time,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Visualize lead time distribution,"{""intent"": ""analyze"", ""metrics"": [""lead_time_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""histogram""}"
Display MR creation timeline,"{""intent"": ""analyze"", ""metrics"": [""mr_creation_timeline""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Show commits distribution,"{""intent"": ""analyze"", ""metrics"": [""commits_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Analyze top committers,"{""intent"": ""analyze"", ""metrics"": [""commiters_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Show code churn analysis,"{""intent"": ""analyze"", ""metrics"": [""code_churn_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Display churn scatter,"{""intent"": ""analyze"", ""metrics"": [""churn_scatter""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""scatter_plot""}"
Visualize MR size,"{""intent"": ""analyze"", ""metrics"": [""mr_size_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""histogram""}"
Show discussions analysis,"{""intent"": ""analyze"", ""metrics"": [""discussions_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Display files modified,"{""intent"": ""analyze"", ""metrics"": [""files_modified""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Afficher l'évolution des commits,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Voir la distribution du lead time,"{""intent"": ""analyze"", ""metrics"": [""lead_time_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""histogram""}"
Montrer l'analyse du code churn,"{""intent"": ""analyze"", ""metrics"": [""code_churn_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Afficher la répartition des états,"{""intent"": ""analyze"", ""metrics"": [""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""pie_chart""}"
Visualiser la taille des MR,"{""intent"": ""analyze"", ""metrics"": [""mr_size_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""histogram""}"
Plot commits over time as a line chart,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Create a bar chart of committers,"{""intent"": ""analyze"", ""metrics"": [""commiters_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Generate a scatter plot of churn,"{""intent"": ""analyze"", ""metrics"": [""churn_scatter""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""scatter_plot""}"
Show state distribution as pie chart,"{""intent"": ""analyze"", ""metrics"": [""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""pie_chart""}"
Voir l'analyse des discussions,"{""intent"": ""analyze"", ""metrics"": [""discussions_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Show commits over time from January 2026,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-01-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Visualize lead time distribution for Q4 2025,"{""intent"": ""analyze"", ""metrics"": [""lead_time_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-10-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""histogram""}"
Analyze top committers from last month,"{""intent"": ""analyze"", ""metrics"": [""commiters_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Show code churn for 2025,"{""intent"": ""analyze"", ""metrics"": [""code_churn_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Display commits distribution by author john-doe,"{""intent"": ""analyze"", ""metrics"": [""commits_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": [""john-doe""]}, ""visualization"": ""bar_chart""}"
Show MR creation timeline for the last 6 months,"{""intent"": ""analyze"", ""metrics"": [""mr_creation_timeline""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-09-04"", ""end_date"": ""2026-03-04""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Visualize files modified in Q1 2026,"{""intent"": ""analyze"", ""metrics"": [""files_modified""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Afficher les discussions du mois dernier,"{""intent"": ""analyze"", ""metrics"": [""discussions_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Show state distribution for February 2026,"{""intent"": ""analyze"", ""metrics"": [""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-02-01"", ""end_date"": ""2026-02-28""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""pie_chart""}"
Display churn scatter for authors alice and bob from last year,"{""intent"": ""analyze"", ""metrics"": [""churn_scatter""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [], ""authors"": [""alice"", ""bob""]}, ""visualization"": ""scatter_plot""}"
Analyze MR size for frontend-repo in 2025,"{""intent"": ""analyze"", ""metrics"": [""mr_size_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [""frontend-repo""], ""authors"": []}, ""visualization"": ""histogram""}"
Show commits over time for backend-api and frontend-app repositories,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [""backend-api"", ""frontend-app""], ""authors"": []}, ""visualization"": ""line_chart""}"
